season,game_type,week,gametime,away_team,away_score,home_team,home_score,result,total,overtime,away_rest,home_rest,away_moneyline,home_moneyline,spread_line,away_spread_odds,home_spread_odds,total_line,under_odds,over_odds,div_game,roof,surface,temp,wind,Score_Diff,Home_Win?
2020,REG,5,20:15,LAC,27,NO,30,3,57,1,8,8,288,-339,7,-106,-104,49.5,-118,106,0,dome,astroturf,,,3,1
2020,REG,5,19:00,BUF,16,TEN,42,26,58,0,9,16,-168,150,-3,-108,-102,52,-106,-105,0,outdoors,grass,73,3,26,1
2020,REG,6,13:00,CHI,23,CAR,16,-7,39,0,10,7,112,-124,2,-107,-103,45,-100,-111,0,outdoors,grass,63,6,-7,0
2020,REG,6,13:00,CIN,27,IND,31,4,58,0,7,7,288,-340,7.5,-108,-102,46,-105,-106,0,closed,fieldturf,,,4,1
2020,REG,6,13:00,DET,34,JAX,16,-18,50,0,14,7,-154,139,-3,-105,-105,52.5,100,-112,0,outdoors,grass,78,10,-18,0
2020,REG,6,13:00,ATL,40,MIN,23,-17,63,0,7,7,167,-188,3.5,-102,-108,53,103,-115,0,dome,sportturf,,,-17,0
2020,REG,6,13:00,DEN,18,NE,12,-6,30,0,17,13,280,-328,7,-103,-107,43.5,101,-113,0,outdoors,grass,58,7,-6,0
2020,REG,6,13:00,WAS,19,NYG,20,1,39,0,7,7,116,-128,2,-103,-107,42.5,-114,103,1,outdoors,fieldturf,62,0,1,1
2020,REG,6,13:00,BAL,30,PHI,28,-2,58,0,7,7,-422,348,-10.5,108,-119,46.5,-104,-107,0,outdoors,grass,61,7,-2,0
2020,REG,6,13:00,CLE,7,PIT,38,31,45,0,7,7,143,-159,3,-102,-108,50,-106,-105,1,outdoors,grass,61,9,31,1
2020,REG,6,13:00,HOU,36,TEN,42,6,78,1,7,5,169,-190,4,-110,100,52,-116,104,1,outdoors,grass,61,10,6,1
2020,REG,6,16:05,NYJ,0,MIA,24,24,24,0,7,7,340,-410,9.5,103,-113,46,104,-116,1,outdoors,grass,85,15,24,1
2020,REG,6,16:25,GB,10,TB,38,28,48,0,13,10,-145,131,-3,109,-121,55,-114,102,0,outdoors,grass,88,12,28,1
2020,REG,6,20:20,LA,16,SF,24,8,40,0,7,7,-124,112,-2,-103,-107,51,-102,-110,1,outdoors,grass,86,10,8,1
2020,REG,6,17:00,KC,26,BUF,17,-9,43,0,8,6,-230,203,-5.5,-104,-106,55,-109,-102,0,outdoors,astroturf,51,6,-9,0
2020,REG,6,20:15,ARI,38,DAL,10,-28,48,0,8,8,103,-114,1,-104,-106,55.5,102,-114,0,closed,fieldturf,,,-28,0
2020,REG,7,20:20,NYG,21,PHI,22,1,43,0,4,4,197,-223,5,-109,-101,44.5,-107,-104,1,outdoors,grass,70,4,1,1
2020,REG,7,13:00,DET,23,ATL,22,-1,45,0,7,7,102,-113,1,-106,-104,54,-105,-106,0,closed,fieldturf,,,-1,0
2020,REG,7,13:00,CLE,37,CIN,34,-3,71,0,7,7,-201,179,-4.5,103,-114,50,-114,102,1,outdoors,grass,48,8,-3,0
2020,REG,7,13:00,GB,35,HOU,20,-15,55,0,7,7,-140,127,-2.5,-113,102,55.5,-110,-101,0,closed,grass,,,-15,0
2020,REG,7,13:00,CAR,24,NO,27,3,51,0,7,13,271,-317,7,-107,-103,49.5,-110,-101,1,dome,astroturf,,,3,1
2020,REG,7,13:00,BUF,18,NYJ,10,-8,28,0,6,7,-391,327,-9.5,101,-111,47,-115,103,1,outdoors,fieldturf,52,8,-8,0
2020,REG,7,13:00,PIT,27,TEN,24,-3,51,0,7,7,103,-114,1,-102,-108,51,-111,-100,0,outdoors,grass,55,3,-3,0
2020,REG,7,13:00,DAL,3,WAS,25,22,28,0,6,7,-110,100,-1,-103,-107,44.5,-104,-107,1,outdoors,grass,46,5,22,1
2020,REG,7,16:05,TB,45,LV,20,-25,65,0,7,14,-192,171,-3.5,-108,-102,51.5,-106,-105,0,dome,grass,,,-25,0
2020,REG,7,16:25,KC,43,DEN,16,-27,59,0,6,7,-302,260,-7,103,-113,46,-111,-100,1,outdoors,grass,14,11,-27,0
2020,REG,7,16:25,JAX,29,LAC,39,10,68,0,7,13,325,-389,8,-108,-102,48,-113,102,0,dome,matrixturf,,,10,1
2020,REG,7,16:25,SF,33,NE,6,-27,39,0,7,7,150,-167,3,102,-113,44,-113,101,0,outdoors,grass,49,7,-27,0
2020,REG,7,20:20,SEA,34,ARI,37,3,71,1,14,6,-186,166,-3.5,-102,-108,55.5,-108,-103,1,closed,grass,,,3,1
